country,iso3,spei,spei_date,year,month,spei_lag1,spei_lag2,spei_lag3
Bosnia and Herzegovina,BIH,-1.0426068,2019-02-15,2019,2,-0.74671865,-1.2496614,-1.5861815
Botswana,BWA,-0.32629177,2019-02-15,2019,2,-0.6016498,-0.87824404,-0.97950625
Brazil,BRA,-0.30097842,2019-02-15,2019,2,-0.11553618,0.28563017,0.08321205
Brunei,BRN,-0.9942771,2019-02-15,2019,2,-0.77071255,-1.0203966,-1.0716418
Bulgaria,BGR,-0.30531394,2019-02-15,2019,2,0.5554903,-0.6466883,-0.841258
Burkina Faso,BFA,-0.89592314,2019-02-15,2019,2,-1.4690838,0.21104781,0.69464576
Burundi,BDI,-0.036204435,2019-02-15,2019,2,0.45430762,-0.021936925,-1.3815506
Cabo Verde,CPV,-0.50758356,2019-02-15,2019,2,-0.40014565,-0.039520983,0.04914594
Cambodia,KHM,-0.33121607,2019-02-15,2019,2,-0.35742763,-0.8311942,-1.1079047
Cameroon,CMR,0.12727046,2019-02-15,2019,2,0.0012856253,-0.58714634,-1.1715748
Canada,CAN,0.32862702,2019-02-15,2019,2,0.36701372,0.20787428,0.42755792
Cayman Islands,CYM,,2019-02-15,2019,2,,,
Central African Republic,CAF,-0.79600614,2019-02-15,2019,2,-0.4425374,-0.28681776,-0.7024217
Chad,TCD,-1.1018106,2019-02-15,2019,2,-0.4856645,-0.007377781,-0.4432866
Chile,CHL,-0.6254133,2019-02-15,2019,2,-0.3061873,0.053984735,0.30381653
China,CHN,0.18078808,2019-02-15,2019,2,0.2970199,-0.1464321,0.038958535
Colombia,COL,-1.0076214,2019-02-15,2019,2,-0.8541299,-0.6717622,0.010970891
Comoros,COM,-0.8755826,2019-02-15,2019,2,-0.6904536,-0.9904455,-0.94490725
Costa Rica,CRI,-0.5823756,2019-02-15,2019,2,-0.6310586,-0.1743319,-0.033549644
Croatia,HRV,-1.2906017,2019-02-15,2019,2,-1.0436542,-1.3780793,-1.2365433
Cuba,CUB,-0.18816328,2019-02-15,2019,2,-0.49769983,-0.74008375,-1.0316366
Cyprus,CYP,1.5948972,2019-02-15,2019,2,1.5762076,1.188148,-0.03702037
Czechia,CZE,0.1154935,2019-02-15,2019,2,0.28035554,-0.9851965,-1.4821149
Democratic Republic of the Congo,COD,0.095151186,2019-02-15,2019,2,0.12155283,0.12858376,-0.056324746
Denmark,DNK,0.02804983,2019-02-15,2019,2,-0.7863284,-1.1056811,-1.7233484
Djibouti,DJI,-0.9962245,2019-02-15,2019,2,-0.67593473,-0.21134594,-0.038969908
Dominican Republic,DOM,-0.75978637,2019-02-15,2019,2,-1.2693185,-1.4569397,-1.154045
East Timor,TLS,-2.233224,2019-02-15,2019,2,-1.4723969,-0.36105704,-0.20434736
Ecuador,ECU,0.5172599,2019-02-15,2019,2,0.5699204,0.06560059,-0.42258495
