origin,destination,dist_od
AIA,MUS,9.533908276117273
AIA,MWI,9.331246525618543
AIA,MYS,9.750771010508135
AIA,NAM,9.190257861516365
AIA,NCL,9.607732312923124
AIA,NER,8.887869733878464
AIA,NFK,9.597239527790318
AIA,NGA,8.922106814150961
AIA,NIC,7.849484881512201
AIA,NIU,9.423583879172826
AIA,NLD,8.845861484902361
AIA,NOR,8.897379191645953
AIA,NPL,9.537241955657446
AIA,NRU,9.563174449220949
AIA,NZL,9.550542074058974
AIA,OMN,9.401111133497038
AIA,PAK,9.455689934653739
AIA,PAL,9.177127583048973
AIA,PAN,7.654947838468552
AIA,PCN,
AIA,PER,8.187156839984635
AIA,PHL,9.709344395155375
AIA,PLW,9.716953736622061
AIA,PNG,9.713991520634137
AIA,POL,8.977044206850987
AIA,PRI,5.807102910766135
AIA,PRK,9.512516890578416
AIA,PRT,8.6387470640775
AIA,PRY,8.494476714982003
AIA,PYF,9.236850843454533
AIA,QAT,9.345732781833398
AIA,REU,9.519533904954267
AIA,ROM,9.0443663038851
AIA,RUS,9.161865733023435
AIA,RWA,9.249686077317614
AIA,SAU,9.28411764659836
AIA,SDN,9.214102287092055
AIA,SEN,8.503217991634054
AIA,SGP,9.766123108862775
AIA,SHN,8.863805557002287
AIA,SLB,9.63609687680218
AIA,SLE,8.621787053270124
AIA,SLV,7.948315695972157
AIA,SMR,8.919760906131112
AIA,SOM,9.373409450114439
AIA,SPM,8.085756523212893
AIA,STP,8.970467919625523
AIA,SUR,7.395898388555659
AIA,SVK,8.978361024733948
AIA,SVN,8.941494577702697
AIA,SWE,8.942455175170053
AIA,SWZ,9.335745838508636
AIA,SYC,9.487446212739728
AIA,SYR,9.184854242134255
AIA,TCA,6.832653105081294
AIA,TCD,9.048671904262653
AIA,TGO,8.860854098945069
AIA,THA,9.683306483734116
AIA,TJK,9.390022615511777
AIA,TKL,9.415206707961577
AIA,TKM,9.332024233951584
AIA,TMP,9.831851906279923
AIA,TON,9.468261704298337
AIA,TTO,6.780506849996375
AIA,TUN,8.904581765671445
AIA,TUR,9.12000748487416
AIA,TUV,9.494553434364219
AIA,TWN,9.63452255105715
AIA,TZA,9.329359088309085
AIA,UGA,9.266107095642221
AIA,UKR,9.097748886870326
