country,ISO_A3,date,spei
Bangladesh,BGD,2019-04-16,1.0980076
Belarus,BLR,2019-04-16,-2.2732158
Belgium,BEL,2019-04-16,-0.5803948
Belize,BLZ,2019-04-16,0.2445876
Benin,BEN,2019-04-16,-0.11917389
Bhutan,BTN,2019-04-16,0.42338437
Bolivia,BOL,2019-04-16,-0.595699
Bosnia and Herzegovina,BIH,2019-04-16,-1.2567276
Botswana,BWA,2019-04-16,-0.28774974
Brazil,BRA,2019-04-16,-0.018939193
Brunei,BRN,2019-04-16,-1.3997929
Bulgaria,BGR,2019-04-16,-1.1252776
Burkina Faso,BFA,2019-04-16,0.08057756
Burundi,BDI,2019-04-16,-2.8133492
