iso_o,iso_d,distw
AIA,PAK,12781.52
AIA,PAL,9673.419
AIA,PAN,2117.037
AIA,PCN,
AIA,PER,3614.639
AIA,PHL,16474.15
AIA,PLW,16596.66
AIA,PNG,16551.81
AIA,POL,7921.351
AIA,PRI,336.0139
AIA,PRK,13529.36
AIA,PRT,5652.188
AIA,PRY,4888.881
AIA,PYF,10268.92
AIA,QAT,11449.87
AIA,REU,13623.27
AIA,ROM,8473.731
AIA,RUS,9613.799
AIA,RWA,10401.42
AIA,SAU,10777.15
AIA,SDN,10044.82
AIA,SEN,4932.216
AIA,SGP,17433.05
AIA,SHN,7132.516
AIA,SLB,15308.16
AIA,SLE,5552.971
AIA,SLV,2831.233
AIA,SMR,7478.301
AIA,SOM,11773.27
AIA,SPM,3247.911
AIA,STP,7867.305
AIA,SUR,1709.84
AIA,SVK,7931.237
AIA,SVN,7642.857
AIA,SWE,7652.856
AIA,SWZ,11336.15
AIA,SYC,13193.06
AIA,SYR,9749.264
AIA,TCA,927.9425
AIA,TCD,8511.304
AIA,TGO,7051.194
AIA,THA,16049.28
AIA,TJK,11968.77
AIA,TKL,12273.77
AIA,TKM,11298.68
AIA,TMP,18617.54
AIA,TON,12942.69
AIA,TTO,880.9977
AIA,TUN,7365.967
AIA,TUR,9149.843
AIA,TUV,13287.71
AIA,TWN,15284.21
AIA,TZA,11274.95
AIA,UGA,10574.45
AIA,UKR,8944.029
AIA,URY,5875.625
AIA,USA,3796.479
AIA,UZB,11768.33
AIA,VCT,594.9724
AIA,VEN,1076.076
AIA,VGB,162.4788
AIA,VNM,16255.26
AIA,VUT,14633.69
AIA,WLF,12880.36
AIA,WSM,12442.7
AIA,YEM,11290.95
AIA,YUG,8121.36
AIA,ZAF,10965.43
AIA,ZAR,9471.245
AIA,ZMB,10653.32
AIA,ZWE,10999.23
ALB,ABW,9091.575
ALB,AFG,4250.738
ALB,AGO,5708.833
ALB,AIA,8114.945
ALB,ALB,73.1558
ALB,AND,1523.718
ALB,ANT,8906.541
ALB,ARE,3723.028
ALB,ARG,11662.56
ALB,ARM,2084.606
ALB,ATG,8093.356
ALB,AUS,15208.5
ALB,AUT,848.8387
ALB,AZE,2437.057
ALB,BDI,5049.444
ALB,BEL,1609.068
ALB,BEN,4105.731
ALB,BFA,3876.384
ALB,BGD,6730.717
ALB,BGR,464.8647
ALB,BHR,3273.008
ALB,BHS,8766.026
ALB,BIH,376.4586
ALB,BLR,1517.909
ALB,BLZ,10193.36
ALB,BMU,7305.367
ALB,BOL,10935.63
ALB,BRA,9388.915
ALB,BRB,8182.64
ALB,BRN,10068.92
ALB,BTN,6456.817
ALB,BWA,7211.846
ALB,CAF,4032.175
ALB,CAN,7842.518
ALB,CCK,
ALB,CHE,1169.541
ALB,CHL,12433.14
ALB,CHN,8026.048
ALB,CIV,4602.338
ALB,CMR,4016.087
ALB,COG,5071.78
ALB,COK,17764.54
ALB,COL,9975.874
ALB,COM,6393.71
ALB,CPV,5064.837
ALB,CRI,10431.94
ALB,CUB,9182.883
ALB,CXR,
ALB,CYM,9510.593
ALB,CYP,1363.566
ALB,CZE,1037.847
ALB,DEU,1383.712
ALB,DJI,4002.986
ALB,DMA,8170.643
ALB,DNK,1744.193
ALB,DOM,8653.2
ALB,DZA,1550.225
ALB,ECU,10900.37
ALB,EGY,1599.466
ALB,ERI,3463.064
ALB,ESH,3452.599
ALB,ESP,1931.682
ALB,EST,2039.758
ALB,ETH,4007.51
ALB,FIN,2256.391
ALB,FJI,16719.61
